Ambito Geografico;Territorio;2015;2016;2017;2018;2019;2019 ajustado
Municipio;VILA DO PORTO;,,,;//;11689;12255;11322;11322
Municipio;LAGOA [R.A.A.];,,,;37330;39695;27800;21980;21980
Municipio;NORDESTE;0;,,,;6415;;;6415
Municipio;PONTA DELGADA;25752;22822;34814;42815;46397;46397
Municipio;POVOACAO;//;//;0;0;0;0
Municipio;RIBEIRA GRANDE;15982;,,,;16781;;;16781
Municipio;VILA FRANCA DO CAMPO;,,,;//;0;0;0;0
Municipio;ANGRA DO HEROISMO;11342;,,,;13624;;33840;33840
Municipio;VILA DA PRAIA DA VITORIA;3702;,,,;15945;;9798;9798
Municipio;SANTA CRUZ DA GRACIOSA;18340;17776;25301;15868;15899;15899
Municipio;CALHETA [R.A.A.];410;,,,;6700;11194;638;638
Municipio;VELAS;29409;,,,;41045;14148;1862;1862
Municipio;LAJES DO PICO;//;//;0;0;;0
Municipio;MADALENA;,,,;9404;;0;;0
Municipio;SAO ROQUE DO PICO;0;0;0;0;0;0
Municipio;HORTA;,,,;4926;5088;5318;5793;5793
Municipio;LAJES DAS FLORES;//;//;;700;200;200
Municipio;SANTA CRUZ DAS FLORES;//;//;0;0;1200;1200
Municipio;CORVO;0;120;;0;0;0
Municipio;CALHETA [R.A.M.];814;,,,;3435;2371;5052;5052
Municipio;CAMARA DE LOBOS;24777;12522;17289;13573;16288;16288
Municipio;FUNCHAL;96142;58974;101668;125155;164410;164410
Municipio;MACHICO;11567;7389;13400;18151;14927;14927
Municipio;PONTA DO SOL;29968;56809;54978;34077;37712;37712
Municipio;PORTO MONIZ;,,,;24500;26670;25415;30527;30527
Municipio;RIBEIRA BRAVA;10360;18109;25020;25460;77725;77725
Municipio;SANTA CRUZ;,,,;,,,;3136;2516;8714;8714
Municipio;SANTANA;23975;,,,;18626;17254;18112;18112
Municipio;SAO VICENTE;66685;,,,;23533;20230;21329;21329
Municipio;PORTO SANTO;13160;,,,;37494;35849;28650;28650
