Natural Key;Dicofre;Freguesia;Concelho;Distrito;Latitude;Longitude
BoivãoVALENÇAVIANA DO CASTELO;160802;Boivão;VALENÇA;VIANA DO CASTELO;-38788.102;259035.046
PiasMONÇÃOVIANA DO CASTELO;160420;Pias;MONÇÃO;VIANA DO CASTELO;-33890.56;259060.748
MoreiraMONÇÃOVIANA DO CASTELO;160418;Moreira;MONÇÃO;VIANA DO CASTELO;-31643.605;260559.639
Valença, Cristelo Covo e ArãoVALENÇAVIANA DO CASTELO;160820;Valença, Cristelo Covo e Arão;VALENÇA;VIANA DO CASTELO;-29315.782;261659.751
Gondomil e SanfinsVALENÇAVIANA DO CASTELO;160818;Gondomil e Sanfins;VALENÇA;VIANA DO CASTELO;-42347.536;261088.086
Sago, Lordelo e ParadaMONÇÃOVIANA DO CASTELO;160439;Sago, Lordelo e Parada;MONÇÃO;VIANA DO CASTELO;-35824.405;261165.153
MerufeMONÇÃOVIANA DO CASTELO;160415;Merufe;MONÇÃO;VIANA DO CASTELO;-26417.387;261601.499
PinheirosMONÇÃOVIANA DO CASTELO;160421;Pinheiros;MONÇÃO;VIANA DO CASTELO;-21715.176;259750.618
TangilMONÇÃOVIANA DO CASTELO;160428;Tangil;MONÇÃO;VIANA DO CASTELO;-30608.589;263303.842
PodameMONÇÃOVIANA DO CASTELO;160422;Podame;MONÇÃO;VIANA DO CASTELO;-17491.719;260386.551
LaraMONÇÃOVIANA DO CASTELO;160410;Lara;MONÇÃO;VIANA DO CASTELO;-19771.045;263218.687
GaveMELGAÇOVIANA DO CASTELO;160308;Gave;MELGAÇO;VIANA DO CASTELO;-32720.296;263510.82
FriestasVALENÇAVIANA DO CASTELO;160806;Friestas;VALENÇA;VIANA DO CASTELO;-12628.771;260686.491
Vila do Bispo e RaposeiraVILA DO BISPOFARO;81506;Vila do Bispo e Raposeira;VILA DO BISPO;FARO;-47543.712;-285137.57
FerragudoLAGOAFARO;80602;Ferragudo;LAGOA;FARO;-73013.343;-285003.38
